code;name;registration_code;registration_sub_code;registration_name
100;ГЕРБ СДС;5;0;ГЕРБ СДС
105;ДПС;7;0;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
110;БСП;4;0;БСП ЗА БЪЛГАРИЯ
110;БСП;12;0;ПОДЕМ
115;ИМА ТАКЪВ НАРОД;22;0;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;11;0;ВЪЗРАЖДАНЕ
135;ДБ;23;0;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
145;ИЗПРАВИ СЕ БГ;8;0;ИЗПРАВИ СЕ МУТРИ ВЪН
155;ВМРО;2;0;СВОБОДА
170;НФСБ;16;0;БЪЛГАРСКИТЕ ПАТРИОТИ ВМРО ВОЛЯ И НФСБ
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;21;0;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ
190;РУСОФИЛИ И КОМУНИСТИ;17;0;ЛЯВ СЪЮЗ ЗА ЧИСТА И СВЯТА РЕПУБЛИКА
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;18;0;ПАРТИЯ НА ЗЕЛЕНИТЕ
210;АТАКА;6;0;АТАКА
215;ЦЕНТЪР;15;0;ГРАЖДАНСКА ПЛАТФОРМА БЪЛГАРСКО ЛЯТО
220;ГЛАС НАРОДЕН;20;0;ГЛАС НАРОДЕН
225;ПРЯКА ДЕМОКРАЦИЯ;14;0;ПРЯКА ДЕМОКРАЦИЯ
235;КОД;19;0;НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА КОД БЗНС БДФ СЕК
240;ЕВРОЛЕВИЦА;1;0;ДВИЖЕНИЕ ЗАЕДНО ЗА ПРОМЯНА БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА ЕВРОПЕЙСКА СИГУРНОСТ И ИНТЕГРАЦИЯ РОДОЛЮБИЕ 2000
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;3;0;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
270;МИР;9;0;МИР
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;10;0;БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА
340;БРИГАДА;13;0;БРИГАДА
710;ДАВИД ЛЕОН ЛЕВИ;24;24;ДАВИД ЛЕОН ЛЕВИ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;0;НЕ ПОДКРЕПЯМ НИКОГО
