section_id;failed_machines_count
010200005;1
013700005;1
013700015;1
014200005;1
020400020;1
020400271;1
030602091;1
030602147;1
030602152;1
030602190;1
030603200;1
030603234;1
030603283;1
030604303;1
030604304;1
030604331;1
031600005;1
032400037;1
040400080;1
040400096;1
040400122;1
042200008;1
042200014;1
042200039;1
050100006;1
050900077;1
061000011;1
061000050;1
062800003;1
070500048;1
070500079;1
072900019;1
080300003;1
082700014;1
091400009;1
091400041;1
091400068;1
091500033;1
092100013;1
092100035;1
093500020;1
100400005;1
102900034;1
102900082;1
104800014;1
104800039;1
110200003;1
111800084;1
111800089;1
122400020;1
122900038;1
132100017;1
152300007;1
152400028;1
162201048;1
162201087;1
162201099;1
162202018;1
162202020;1
162203019;1
162204044;1
162204050;1
162204072;1
162205039;1
162205076;1
162206071;1
181400019;1
181400034;1
192700071;1
192700199;1
211100025;1
212000028;1
212000104;1
223100025;1
234602077;1
234602080;1
234608036;1
234609019;1
234609032;1
234609062;1
234610008;1
234610009;1
234610010;1
234610041;1
234610099;1
234615009;1
234615039;1
234615052;1
234616053;1
234617013;1
234623011;1
244601010;1
244601012;1
244606050;1
244607082;1
244614043;1
254612011;1
254618015;1
254618018;1
254619111;1
260700002;1
260700008;1
260700011;1
260700029;1
260900004;1
264300013;1
264300014;1
264300039;1
265900002;1
273100132;1
273100133;1
273100140;1
282200019;1
293000012;1
293200006;1
293300043;1
293400054;1
302200009;1
303000044;1
303000090;1
312500046;1
320270092;1
320270103;1
320560307;1
320870328;1
321070537;1
321180708;1
321320764;1
